StarNumber	20r	20i	20r-20i	E	22r	22i	22r-22i	mean r-i	22b	22v	22b-22v	M	20b	20v	20b-20v	Q	catalogue v	catalogue b-v	catalogue b	U	catalogue v - 22v	catalogue v - 20v	X	catalogue b - 22b	catalogue b - 20b	22v-20v
80	11.164	10.865	0.29895		11.38	11.14	0.23967	0.26931	12.066	11.625	0.44019		11.963	11.541	0.42286		11.41	0.35	11.76		-0.21532	-0.1306		-0.30551	-0.20345	0.084719
81																										
82	13.462	10.061	3.4011		13.485	10.243	3.2419	3.3215	17.923	16.446	1.4776		18.166	16.662	1.5038											-0.21627
83	11.169	10.896	0.27271		11.306	11.123	0.18304	0.22788	12.019	11.566	0.4522		11.977	11.525	0.45216		11.39	0.38	11.77		-0.17637	-0.13501		-0.24857	-0.20717	0.041359
84	11.13	10.749	0.38126					0.38126	12.176				12.17	11.583	0.58685		11.47	0.55	12.02			-0.11304		-0.15639	-0.14989	
85	11.154	10.823	0.33112		11.242	10.974	0.26814	0.29963	12.114	11.572	0.5427		12.102	11.585	0.51669		11.43	0.48	11.91		-0.14156	-0.15489		-0.20426	-0.19158	-0.01333
86	11.224	11.003	0.22159		11.357	11.202	0.15544	0.18851	11.989	11.595	0.39452		11.965	11.58	0.38539		11.43	0.34	11.77		-0.16474	-0.14975		-0.21926	-0.19514	0.014991
87	11.225	10.934	0.2906		11.363	11.149	0.21392	0.25226	12.183	11.69	0.49306		12.149	11.649	0.49976		11.49	0.48	11.97		-0.20003	-0.15933		-0.21309	-0.1791	0.040696
88	11.244	10.967	0.27734		11.448	11.239	0.20886	0.2431	12.2	11.738	0.46122		12.123	11.654	0.4693		11.47	0.44	11.91		-0.26833	-0.18372		-0.28955	-0.21302	0.084608
89	11.307	10.379	0.92815		11.417	10.544	0.87329	0.90072	14.093	12.375	1.7179		14.091	12.363	1.7278											0.012022
90	11.256	10.961	0.29502		11.361	11.143	0.21872	0.25687	12.151	11.677	0.47359		12.12	11.651	0.46907		11.5	0.44	11.94		-0.17724	-0.15129		-0.21083	-0.18037	0.02595
91	11.351	11.107	0.24432		11.479	11.306	0.17335	0.20884	12.178	11.751	0.4279		12.143	11.717	0.42627		11.54	0.37	11.91		-0.21052	-0.17709		-0.26842	-0.23337	0.033427
92	11.371	10.56	0.81055		11.526	10.817	0.70893	0.75974	13.683	12.315	1.3679		13.606	12.249	1.3569											0.065526
93	11.368	11.133	0.23509		11.641	11.427	0.21396	0.22452	12.276	11.846	0.42945		12.132	11.725	0.40698											0.12112
94	11.366	11.111	0.25579		11.521	11.334	0.18684	0.22131	12.247	11.792	0.45532		12.2	11.731	0.46824		11.62	0.42	12.04		-0.17208	-0.11147		-0.2074	-0.15971	0.060617
95	11.343	10.888	0.45516		11.491	11.135	0.3561	0.40563	12.748	11.968	0.77945		12.695	11.903	0.79229		11.78	0.74	12.52		-0.18827	-0.12297		-0.22773	-0.17526	0.065307
96	11.414	10.627	0.78699		11.529	10.832	0.69764	0.74232	13.652	12.318	1.3336		13.636	12.282	1.3541											0.035848
97	11.333	11.046	0.28634		11.454			0.28634	12.204				12.174	11.706	0.46824		11.54	0.41	11.95			-0.16619		-0.2541	-0.22443	
98	11.463				11.623	10.726	0.89697	0.89697	14.306	12.605	1.7008		14.223	12.542	1.6805											0.062416
99	11.439	11.077	0.36165		11.579	11.301	0.27807	0.31986	12.437	11.911	0.52665		12.38	11.85	0.52983		11.69	0.5	12.19		-0.22083	-0.16028		-0.24748	-0.19011	0.060551
100																	11.67	0.46	12.13							
101	11.417	11.153	0.26354		11.612	11.415	0.19649	0.23001	12.36	11.918	0.4424		12.278	11.819	0.45906		11.67	0.4	12.07		-0.24788	-0.14938		-0.29028	-0.20844	0.098491
102	11.486	11.073	0.4139		11.662	11.295	0.36698	0.39044	12.478	11.939	0.53899		12.373	11.882	0.49176		11.78	0.42	12.2		-0.15896	-0.1017		-0.27795	-0.17346	0.057261
103	11.476	10.742	0.73447		11.63	10.98	0.65024	0.69236	13.712	12.395	1.3167		13.699	12.343	1.3563											0.052504
104	11.463	11.097	0.3665		11.59	11.309	0.28044	0.32347	12.496	11.949	0.54684		12.465	11.915	0.55											0.033982
105																										
106	11.473	11.184	0.28812		11.675	11.439	0.23586	0.26199	12.465	11.992	0.47278		12.4	11.885	0.51553		11.75	0.44	12.19		-0.24216	-0.13473		-0.27494	-0.21026	0.10743
107																										
108	11.497	11.251	0.24638		11.619	11.444	0.17566	0.21102	12.369	11.92	0.44846		12.321	11.889	0.43282		11.72	0.42	12.14		-0.20019	-0.1685		-0.22865	-0.18132	0.031689
109	11.547	11.194	0.35364		11.686	11.402	0.28376	0.3187	12.655	12.077	0.57859		12.585	12.008	0.577		11.85	0.55	12.4		-0.22663	-0.15796		-0.25523	-0.18496	0.068674
110	11.583	11.25	0.33306		11.766	11.505	0.26078	0.29692	12.543	12.051	0.49195		12.504	11.994	0.50976		11.86	0.44	12.3		-0.19131	-0.134		-0.24326	-0.20377	0.057305
111					11.714																					
112	11.901	10.568	1.333		12.015	10.777	1.2379	1.2854	15.47	13.284	2.1864		15.197	13.26	1.9369		13.14	2.22	15.36		-0.144	-0.12006		-0.11042	0.16307	0.023943
113	11.673	11.424	0.24888		11.799	11.657	0.14249	0.19568	12.479	12.059	0.42012		12.435	12.013	0.42171		11.85	0.38	12.23		-0.20909	-0.16298		-0.2492	-0.20469	0.046108
114	11.649	11.407	0.24165		11.775	11.587	0.18821	0.21493	12.489	12.031	0.45751		12.455	12.013	0.44171		11.84	0.41	12.25		-0.19145	-0.17301		-0.23896	-0.20472	0.018436
115	14.799	11.162	3.6368		14.732	11.395	3.3364	3.4866		17.411				17.194												0.21769
116	11.69	10.878	0.81177		11.803	11.068	0.73582	0.7738	14.072	12.643	1.4294		14.127	12.633	1.4937											0.009944
117	11.688	11.416	0.2721		11.825	11.634	0.19175	0.23192	12.605	12.097	0.50727		12.574	12.099	0.47445		11.9	0.44	12.34		-0.19735	-0.19916		-0.26463	-0.23361	-0.0018082
118	11.661	11.324	0.33703		11.785	11.526	0.25922	0.29813	12.616	12.07	0.54609		12.573	12.049	0.5233		11.91	0.48	12.39		-0.15991	-0.13928		-0.226	-0.18258	0.02063
119	11.709	11.389	0.3196		11.895	11.65	0.24456	0.28208	12.711	12.201	0.51007		12.642	12.116	0.52653		11.98	0.44	12.42		-0.2207	-0.13595		-0.29077	-0.22249	0.084747
